Date,Price,Close,Headlines
2020-07-17,"6,290.30",1.25595,"In search of a new economics for Covid-19 era Business live  Markets hope for progress over EU recovery fund; US consumer confidence drops – as it happened I flew the jumbo for 10 years and never got over how big it was, says 747 pilot BA begins to carry out its 'fire and rehire' threat to jobs Johnson's coronavirus workplace guidance confused, warn unions What will be changing in Boris Johnson's 'return to normality' Lloyds to increase number of black staff in senior roles Silicon Valley has deep pockets for African startups – if you’re not African 'What’s going to give?': millions fret as Republicans threaten to halt $600 weekly lifesaver Future of education  'The MIT of the north': how the government plans to transform ex-mining towns Battery firm chooses Welsh site for Britain's first gigafactory Netflix shares drop despite positive second-quarter earnings Nils Pratley on finance  


  Centrica left it far too late to tackle its problems Here's another virus terrorising businesses and causing havoc: ransomware $11.3bn in IMF Covid-19 money is being used to service debt, says group A fifth of Brazilian soy in Europe is result of deforestation Public sector pension discrimination could cost UK taxpayer £17bn World's largest oil firm agrees to carbon cuts to tackle climate crisis Boohoo shares rise 12% after co-founders pump £15m into firm UK government orders halt to Randox Covid-19 tests over safety issues"
2020-07-16,"6,250.69",1.2591,"Canary Wharf traders and landlord bank on return to offices Number of UK problem gamblers seeking help soars in lockdown British Gas owner 'using Covid-19 as smokescreen to alter staff contracts' 'It's disrupted our entire lives': UK workers on losing their jobs Business live  China shares suffer biggest fall since February; US jobless claims still high - as it happened More than 1,600 UK jobs at risk at casino firm Genting Royalties investment firm buys catalogue of Lady Gaga collaborator Pizza Express to close up to 75 restaurants, risking 1,000 jobs Rishi Sunak’s Covid-19 package recycled up to £10bn spending – IFS Next in final stages of buying UK arm of Victoria's Secret Human rights in focus  Ethical labels not fit for purpose, report warns consumers UK banks may have to flag up plans to shut branches or cash machines 1.3m more file for unemployment as US economy continues to reel Southbank Centre warns of 400 job losses amid coronavirus crisis UK's hidden problem of rising unemployment may soon be exposed UK paid employment falls by almost 650,000 as Covid-19 crisis bites Banks propose student loan-style scheme for struggling UK businesses Family fortunes of wealthy increase as super-rich ride coronavirus storm Treasury mulls plan to set up coronavirus toxic debt body to save UK small businesses 29% of UK businesses to cut jobs in next three months, survey says"
2020-07-15,"6,292.65",1.256929,"'Incredible' Boohoo denying knowledge of factory allegations, says MP Treasury mulls plan to set up coronavirus toxic debt body to save UK small businesses Nils Pratley on finance  


  Margrethe Vestager was 100% correct over public mood on Apple tax case Fear of Pizza Express closures as chain faces takeover by bondholders 'Not much difference': few takers on first day of hospitality VAT cut Capital gains tax review: your questions answered Asos considers action against Leicester supplier in ethical audit Business live  Chancellor Rishi Sunak warns of 'tough choices' to address public finances - as it happened BBC announces further 70 job cuts in news division Claim Amanda Staveley in charge of Abu Dhabi Barclays deal 'a fantasy', court told Trump claims credit for UK Huawei ban as China says move 'disheartening' – video Buzz Bingo to close 26 halls across UK with loss of up to 573 jobs UK ban on Huawei in 5G network groundless, says Chinese ambassador UK fast-food and coffee chains cut prices as VAT relief comes into effect Apple does not need to pay €13bn Irish tax bill, EU court rules ‘I can’t afford to turn away business’: view from shops on face mask rules The Number Bias by Sanne Blauw review – how numbers can mislead us Chinese media calls for 'pain' over UK Huawei ban as Trump claims credit Matt Hancock rules out mandatory face masks in offices Burberry to cut 500 jobs worldwide in £55m cost-saving drive UK inflation rises as game console prices increase in lockdown BFI diversity standards 'failing to tackle race discrimination in UK film industry' Your problems, with Anna Tims  Floored as Harveys constantly failed on its promises to deliver Governments put 'green recovery' on the backburner The green recovery  UK government planning new green investment bank Stamp duty cut fuels surge of interest in London commuter belt UK energy efficiency push offers just a third of the investment needed, says report UK launches first online service for groceries in reusable packing Rishi Sunak's capital gains tax review may usher in higher taxes on wealthy Virgin Atlantic: a successful non-intervention by the Treasury The Guardian view on Covid-19 economics: the austerity con of deficit hysteria Former Barclays boss apologises for Amanda Staveley 'tart' reference Hospitality VAT cut may not be passed on to UK consumers Oprah Winfrey and Jay-Z tap into rising alt-milk star Oatly Weak recovery could make unemployment worse than 1980s levels, warns OBR Treasury forecaster's three stark predictions for Britain's economy UK accounting firms criticised by watchdog for ‘unacceptable’ work Business live  Hopes for V-shaped recovery fade as UK economy grows 1.8% in May - as it happened Virgin Atlantic agrees £1.2bn rescue deal amid coronavirus slump Ireland could randomly test tourists from high-risk countries for Covid-19"
2020-07-14,"6,179.75",1.255178,"British Airways to sell art collection to ease Covid-19 pressures UK's growth figures dim hopes of V-shaped recovery from Covid-19 Flood strategy 'at odds with Boris Johnson push for mass housing' UK economy may not recover until end of 2022, Treasury forecaster warns Face masks 'will deter young shoppers' says JD Sports chairman Ocado has waiting list of 1 million customers wanting to sign up Huawei to be stripped of role in UK's 5G network by 2027, Dowden confirms End of the office: the quiet, grinding loneliness of working from home Britain's economy returns to growth more slowly than expected Sunak’s Covid-19 package may not be value for money, warns Treasury economist UK retail sales in June show signs of recovery after covid lockdown The fast fashion fix: 20 ways to stop buying new clothes for ever Government hopes cut in red tape will triple UK's battery capacity After mixed messages and mess-ups, Johnson bows to the inevitable UK's expected U-turn on Huawei fails to satisfy Tory rebels Nils Pratley on finance  


  Sunak cannot just hope other big firms will follow Primark's furlough stance Asda equal pay dispute goes to UK supreme court in virtual hearing Boohoo shares drop 18% as new Leicester factory reports threaten sales Nationwide to offer low-deposit mortgages after stamp duty move Grogonomics  


  To make jobseeker fit for purpose, its temporary rise should be permanent"
2020-07-13,"6,176.19",1.262751,"Offshore wind energy investment quadruples despite Covid-19 slump Halfords to close up to 60 sites despite rise in bike sales in lockdown Business live  Markets strengthen amid economic recovery hopes - as it happened What is Huawei and why is its role in UK's 5G so controversial? G4S planning more than 1,000 job losses in cash-handling services Johnnie Walker maker creates plastic-free paper-based spirits bottle Gold trade body urged to suspend refinery over alleged abuses in Tanzania Work begins in Lincolnshire on world's longest subsea power cable Quiz suspends clothing supplier over Leicester subcontractor concerns BT boss warns of outages and security risks if UK ditches Huawei Three in four UK firms unprepared for Brexit, study shows UK tobacco sales fell faster after plain packaging rules came into force Shoppers shun high streets in England and Northern Ireland, data shows Bono campaign group accuses UK of wasting international aid budget Project Syndicate economists  


  Covid-19 is no excuse for sovereign creditors to move the goalposts on debt Super-rich call for higher taxes on wealthy to pay for Covid-19 recovery Priti Patel to unveil details of post-Brexit immigration plans Primark turns down £30m windfall from job retention bonus Post-furlough sums don’t add up for me Corporations begin cautious return to UK offices after lockdown"
2020-07-10,"6,095.41",1.260509,"Estate agents in England report surge of interest as tax cut spurs on homebuyers Boohoo shareholder sells off shares in firm worth nearly £80m West End landlord collects less than a third of rent in June UK travel companies 'must comply with laws on refunds or face legal action' Boohoo co-founder Jalal Kamani linked to Leicester garment factory Divided Libya to restart oil production after six-month shutdown Business live  England gets ready to reopen gyms, pools and nail bars as Covid-19 lockdown eases - as it happened The age of extinction  Boris Johnson says newts are a drag on the UK’s economy. Here’s why he’s wrong Gyms, pools and nail bars: what the new rules in England allow Other lives  Mike Wilson obituary Julia Sawalha furious after being told she is 'too old' for Chicken Run sequel ‘This isn’t really Somerset’: how the rich took over Bruton Royal Mail fined £1.6m for late deliveries and stamp overcharging Culture in peril  Coronavirus: hospitality VAT cut will apply to concerts and music festivals One in 10 of Restaurant Group outlets will not reopen this year How will we know the US economy is recovering? Here's what I'm watching Gym Group to reopen most branches in England from 25 July Pubs and restaurants in England trade at half their pre-virus levels Nils Pratley on finance  


  Sharon White's radicalism at John Lewis is sorely needed US push to ease global energy controls as it hands fossil fuels $3bn"
2020-07-09,"6,049.62",1.261352,"Boohoo shares bounce back after pledge to improve factory conditions Kent airport gets green light to reopen as international hub Business live  Boots to cut 4,000 jobs as John Lewis to shut eight stores, putting 1,300 jobs at risk - as it happened Seven ways to help garment workers Boots and John Lewis to cut 5,300 jobs and close stores 'Left in limbo': Leicester fears local lockdown will go on until mid-August Man arrested in Solihull over suspected £500k furlough fraud 'No masks': Wagamama criticised over Rishi Sunak photo op 'Phones ringing off the hook' at estate agents after stamp duty cut Barclays bosses wrote Amanda Staveley off as 'dolly bird', court told Sunak's jobs policies badly timed and poorly targeted, says IFS Our film critic's first drive-in: 'I quietly squeak with excitement' Rolls-Royce burned through £3bn in cash owing to Covid-19 crisis The pelvic mesh scandal makes it clear: doctors must declare any funding Boots to cut 4,000 jobs and close stores after dramatic fall in shopper numbers Workers fight back as US hotels try to lay off staff and hire on the cheap Second administrator to scrutinise Laura Ashley collapse Summer statement 2020: IFS airs doubts on 'unprecedented' UK economic stimulus John Lewis shuts eight stores with expected loss of 1,300 jobs China has shown it is willing to pay the economic price of suppressing Hong Kong Uber Eats to deliver your supermarket shopping with Asda tie-up Ofgem's £25bn plan puts climate goals at risk, say energy firms NBN Co to sack 800 workers as ‘initial build’ of network finishes after 10 years Today in Focus  The Leicester garment factories exposed by Covid-19 Rio Tinto smelter in New Zealand to close with loss of 1,000 jobs UK housing market's post-lockdown bounce 'might run out of steam' Mass unemployment feared despite Rishi Sunak's 'plan for jobs' 'There are too many uncertainties': reactions to the summer statement International aviation and shipping likely to be added to UK's net zero carbon target Chancellor's 'eat out to help out' plan: how to get value for money Unions urge Rishi Sunak to do more on unemployment VAT cut for restaurants, pub meals and hotels: what will it mean for you? Chancellor's stock peaks with 'nudge' summer statement 'Not what a green recovery looks like': Rishi Sunak's plan gets mixed response Stamp duty holiday may revive housing market, say experts Politics live with Andrew Sparrow  UK coronavirus live: Rishi Sunak unveils stamp duty cut, furlough bonus and August discount for eating out – as it happened UK business leaders warn over closure of furlough scheme Boohoo to launch independent review of UK supply chain May worst month for Covid-19 impact on UK job market, ONS figures show Devolved nations call on Treasury for billions in extra spending"
2020-07-08,"6,156.16",1.25428,"Boohoo must take fashion more seriously after factory scandal Scotland to keep 14-day quarantine for travellers from Spain UK nominates Liam Fox to lead World Trade Organization Rishi Sunak unveils stamp duty holiday and hospitality VAT cut Ryanair to keep on UK-based crew in return for pay cuts, say unions Tati, much-loved French retailer, shuts up shop in Paris after 70 years Summer statement 2020: the chancellor's key points at a glance FirstGroup could cease trading as coronavirus hits passenger levels Grant Thornton fined over Conviviality audit failures Activists see Purdue bankruptcy case as last chance to call Sacklers to account Uber to launch London commuter boat service with Thames Clippers 147 new Australian Covid-19 cases – as it happened Stop trying to fight racism with corporate diversity consultants Summer statement: Rishi Sunak plans temporary job creation scheme for under-25s Summer statement: the UK's Covid-19 economic crisis in five key charts How Rishi Sunak could kickstart UK's post-lockdown economy Scam calls will rise as lockdown eases, says trading standards body Next, Asos and Amazon drop Boohoo amid Leicester factory claims Nils Pratley on finance  


  No business need at all now for a Chinese nuclear plant in the UK Thousands of Jaguar Land Rover logistics workers to lose jobs"
2020-07-07,"6,189.90",1.249547,"Deutsche Bank to pay $150m fine to settle charges linked to Epstein dealings Crime fiction boom as book sales rocket past 2019 levels Business live  Markets slide as EC predicts deeper eurozone recession - as it happened JD Sports warehouse in Rochdale hosts mobile Covid-19 lab after positive tests The pandemic has exposed the dark underside of fast fashion's supply chains Lockdown living  


  Fast fashion creates misery – and that's always a bad look New Welsh factory at risk as Jim Ratcliffe's Ineos looks to make cars in France Halfords predicts bicycle boom to continue for 2020 UK house prices fell for fourth month in a row, says Halifax 'We squandered a decade': world losing fight against poverty, says UN academic 'People say we don’t exist': the scandal of excluded black architects Europe faces deep recession and UK will shrink by 10%, says EC Boohoo shareholders demand answers after shares plunge by a third Over 5,600 fossil fuel companies have taken at least $3bn in US Covid-19 aid Empathy machines: what will happen when robots learn to write film scripts? UK jobless rate 'could near 15% in second coronavirus wave' UK hotel bookings returning after Covid-19 slump, says Premier Inn owner Mirror and Express owner Reach to cut 550 jobs Treasury's 'green recovery' not enough, say campaigners Tory ministers from 1980s fear return to mass unemployment"
2020-07-06,"6,285.94",1.247552,"Gambling charity urges UK banks to improve card blocking systems Multibillion-dollar gas projects in jeopardy as global market collapses Jonathan Sackler, joint owner of opioid maker Purdue Pharma, dies aged 65 Nils Pratley on finance  


  Departure of Horta-Osório no bad thing for Lloyds at this time More than £1bn wiped off Boohoo value as it investigates Leicester factory Business live  UK car sales weakest since 1971; US service sector strengthens - as it happened Aviva appoints Amanda Blanc as chief executive Pret a Manger: full list of stores to close Giant flywheel project in Scotland could prevent UK blackouts UK construction sector rebounds amid plan for stamp duty holiday Hollywood stars to be exempt from UK's coronavirus quarantine rules Pret a Manger to close 30 stores and could cut more than 1,000 jobs UK’s big accountancy firms told to split off audit arms by 2024 Only bold state intervention will save us from a future owned by corporate giants Lloyds chief António Horta-Osório to step down next year Why the Covid-19 financial crisis will leave lasting scars on Gen Z Consumer champions  Sky TV charged my mother a fortune and she can’t leave From dusted-off bikes to electric dreams: UK green economy booms on back of Covid-19 Chancellor under pressure to boost financial support as job crisis looms UK banks prepare code of conduct on defaulting of Covid-19 business loans"
