,Date,FTSE,NASDAQ,HANG,SP500,DAX
0,30/12/2022,7451.74,10466.48,19781.41,3839.5,13923.59
1,29/12/2022,7512.72,10478.09,19741.14,3849.28,14071.72
2,28/12/2022,7497.19,10213.29,19898.91,3783.22,13925.6
3,23/12/2022,7473.01,10497.86,19593.06,3844.82,13940.93
4,22/12/2022,7469.28,10476.12,19679.22,3822.39,13914.07
5,21/12/2022,7497.32,10709.37,19160.49,3878.44,14097.82
6,20/12/2022,7370.62,10547.11,19094.8,3821.62,13884.66
7,19/12/2022,7361.31,10546.03,19352.81,3817.66,13942.87
8,16/12/2022,7332.12,10705.41,19450.67,3852.36,13893.07
9,15/12/2022,7426.17,10810.53,19368.59,3895.75,13986.23
10,14/12/2022,7495.93,11170.89,19673.45,3995.32,14460.2
11,13/12/2022,7502.89,11256.81,19596.2,4019.65,14497.89
12,12/12/2022,7445.97,11143.74,19463.63,3990.56,14306.63
13,09/12/2022,7476.63,11004.62,19900.87,3934.38,14370.72
14,08/12/2022,7472.17,11082.0,19450.23,3963.51,14264.56
15,07/12/2022,7489.19,10958.55,18814.82,3933.92,14261.19
16,06/12/2022,7521.39,11014.89,19441.18,3941.26,14343.19
17,05/12/2022,7567.54,11239.94,19518.29,3998.84,14447.61
18,02/12/2022,7556.23,11461.5,18675.35,4071.7,14529.39
19,01/12/2022,7558.49,11482.45,18736.44,4076.57,14490.3
20,30/11/2022,7573.05,11468.0,18597.23,4080.11,14397.04
21,29/11/2022,7512.0,10983.78,18204.68,3957.63,14355.45
22,28/11/2022,7474.02,11049.5,17297.94,3963.94,14383.36
23,25/11/2022,7486.67,11226.36,17573.58,4026.12,14541.38
24,23/11/2022,7465.24,11285.32,17523.81,4027.26,14427.59
25,22/11/2022,7452.84,11174.41,17424.41,4003.58,14422.35
26,21/11/2022,7376.85,11024.51,17655.91,3949.94,14379.93
27,18/11/2022,7385.52,11146.06,17992.54,3965.34,14431.86
28,17/11/2022,7346.54,11144.96,18045.66,3946.56,14266.38
29,16/11/2022,7351.19,11183.66,18256.48,3958.79,14234.03
30,15/11/2022,7369.44,11358.41,18343.12,3991.73,14378.51
31,14/11/2022,7385.17,11196.22,17619.71,3957.25,14313.3
32,11/11/2022,7318.04,11323.33,17325.66,3992.93,14224.86
33,10/11/2022,7375.34,11114.15,16081.04,3956.37,14146.09
